Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-01-25,2023-01-25,2023-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2023-02-25
2023-01-25,2023-01-25,2023-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2023-02-25
2023-01-25,2023-01-25,2023-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2023-02-25
2023-01-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2023-01-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2023-01-25
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2023-01-25
2022-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2023-01-25
2022-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-11-25,2022-11-25,2022-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-12-25
2022-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-11-25,2022-11-25,2022-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-12-25
2022-11-25,2022-11-25,2022-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-12-25
2022-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-10-25,2022-10-25,2022-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-11-25
2022-10-25,2022-10-25,2022-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-11-25
2022-10-25,2022-10-25,2022-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-11-25
2022-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-09-25,2022-09-25,2022-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-10-25
2022-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-09-25,2022-09-25,2022-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-10-25
2022-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-09-25,2022-09-25,2022-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-10-25
2022-08-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-08-25,2022-08-25,2022-09-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-09-25
2022-08-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-08-25,2022-08-25,2022-09-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-09-25
2022-08-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-08-25,2022-08-25,2022-09-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-09-25
2022-07-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-07-25,2022-07-25,2022-08-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-08-25
2022-07-25,2022-07-25,2022-08-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-08-25
2022-07-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-07-25,2022-07-25,2022-08-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-08-25
2022-07-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-06-25,2022-06-25,2022-07-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-07-25
2022-06-25,2022-06-25,2022-07-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-07-25
2022-06-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-06-25,2022-06-25,2022-07-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-07-25
2022-06-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-06-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-05-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-05-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-05-25,2022-05-25,2022-06-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-06-25
2022-05-25,2022-05-25,2022-06-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-06-25
2022-05-25,2022-05-25,2022-06-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-06-25
2022-05-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
